city,lat,lng,max_temp,humidity,windspeed,cloudiness,country,date
hamilton,39.18,-84.53,77.0,47,8.05,1,US,1592408181
champerico,14.3,-91.92,78.8,94,4.25,40,GT,1592408181
egvekinot,66.32,-179.17,54.64,49,1.7,3,RU,1592408075
sao filipe,14.9,-24.5,75.9,82,11.63,6,CV,1592408181
georgetown,5.41,100.34,84.2,88,3.36,20,MY,1592407837
bathsheba,13.22,-59.52,86.0,66,21.92,40,BB,1592408074
netanya,32.33,34.86,86.0,39,14.99,0,IL,1592408181
yoichi,43.2,140.77,57.0,93,4.92,100,JP,1592408181
tura,25.52,90.22,75.4,98,7.61,100,IN,1592408182
popondetta,-8.75,148.25,71.19,95,2.46,100,PG,1592408182
kalabo,-14.97,22.68,68.2,37,9.06,2,ZM,1592408182
longyearbyen,78.22,15.64,39.2,77,8.05,20,SJ,1592407882
port-gentil,-0.72,8.78,78.8,83,10.29,90,GA,1592407905
shingu,33.73,135.98,67.77,74,2.37,100,JP,1592408182
kokopo,-4.35,152.26,76.28,87,6.11,2,PG,1592407915
yelnya,54.58,33.18,75.22,70,6.17,0,RU,1592408182
liuzhou,24.31,109.39,78.91,85,8.97,28,CN,1592408145
khatanga,71.97,102.5,50.56,73,1.54,100,RU,1592408183
los llanos de aridane,28.66,-17.92,77.0,73,9.17,20,ES,1592408183
westport,41.14,-73.36,78.01,56,10.29,1,US,1592408008
tuatapere,-46.13,167.68,39.0,83,3.0,93,NZ,1592408073
lazaro cardenas,17.96,-102.2,88.61,53,2.57,0,MX,1592408184
ketchikan,55.34,-131.65,53.6,76,4.7,40,US,1592408185
alofi,-19.06,-169.92,71.6,68,13.87,98,NU,1592408185
zhezkazgan,47.8,67.71,69.26,33,8.95,46,KZ,1592408185
caravelas,-17.71,-39.25,76.06,62,12.15,80,BR,1592408185
cockburn town,21.46,-71.14,87.8,66,13.87,40,TC,1592408185
nanning,22.82,108.32,80.6,88,4.47,0,CN,1592408185
san carlos de bariloche,-41.15,-71.31,41.0,80,2.24,40,AR,1592408186
kushnarenkovo,55.1,55.35,71.01,77,8.95,75,RU,1592408186
saldanha,-33.01,17.94,75.2,48,5.82,0,ZA,1592407902
aras,42.56,-2.36,71.6,40,2.24,20,ES,1592408186
la chaux-de-fonds,47.1,6.83,63.0,100,4.7,75,CH,1592408186
morrope,-6.54,-80.01,68.0,72,12.75,75,PE,1592408186
torbay,47.67,-52.73,75.99,38,19.46,75,CA,1592407919
koutiala,12.39,-5.46,102.74,23,3.15,67,ML,1592408187
mount isa,-20.73,139.5,68.0,42,9.17,0,AU,1592408187
namatanai,-3.67,152.43,78.93,81,6.26,13,PG,1592408187
trairi,-3.28,-39.27,85.87,62,12.44,0,BR,1592408187
shimoda,34.67,138.95,62.01,92,4.85,100,JP,1592408187
kruisfontein,-34.0,24.73,56.5,47,4.85,0,ZA,1592408187
waipawa,-41.41,175.52,54.0,81,1.99,100,NZ,1592407890
khorixas,-20.37,14.97,76.14,22,10.4,0,NA,1592408187
ulaangom,49.98,92.07,67.44,50,7.67,100,MN,1592408188
krasnooktyabrskiy,44.93,38.37,84.99,62,7.14,0,RU,1592408188
yar-sale,66.83,70.83,45.7,56,13.2,66,RU,1592408188
burnie,-41.07,145.92,42.01,86,1.99,57,AU,1592407995
opuwo,-18.06,13.84,73.96,23,11.52,0,NA,1592408188
ulaanbaatar,47.91,106.88,60.8,51,2.24,40,MN,1592407996
fairbanks,64.84,-147.72,61.0,76,3.36,90,US,1592408134
ligayan,4.65,119.47,85.37,68,7.52,81,PH,1592408188
pevek,69.7,170.31,43.92,66,5.19,86,RU,1592408189
weatherford,32.76,-97.8,84.0,54,5.99,0,US,1592407932
ponnani,10.77,75.93,77.0,88,5.82,75,IN,1592408189
nishihara,26.18,127.76,82.4,94,12.75,20,JP,1592408189
tarut,26.57,50.04,105.8,11,16.11,0,SA,1592408189
chaman,30.92,66.45,86.61,12,8.39,0,PK,1592408189
emba,48.83,58.14,75.33,29,7.29,0,KZ,1592408189
aberystwyth,52.42,-4.08,62.01,96,1.99,100,GB,1592408189
vanavara,60.34,102.28,49.08,68,2.28,65,RU,1592407921
mujiayingzi,42.12,118.78,68.63,67,9.26,100,CN,1592408190
cayenne,4.93,-52.33,86.0,70,5.82,75,GF,1592407947
wajid,3.81,43.25,81.34,47,15.19,80,SO,1592408190
albania,41.0,20.0,75.2,64,2.24,40,AL,1592408190
warmbad,-28.45,18.73,60.76,34,11.45,0,NA,1592408190
plettenberg bay,-34.05,23.37,63.84,44,6.22,0,ZA,1592408190
zolotyy potik,48.91,25.34,75.2,60,11.18,75,UA,1592408190
teya,60.38,92.63,51.76,68,4.12,89,RU,1592408190
changping,40.22,116.22,81.0,47,11.18,93,CN,1592408191
roma,43.21,-75.46,79.0,50,3.36,1,US,1592407918
maceio,-9.67,-35.74,82.4,65,18.34,40,BR,1592408011
kamaishi,39.27,141.88,60.48,79,3.22,0,JP,1592408191
zhigalovo,54.81,105.16,46.87,64,1.72,27,RU,1592408191
tuy hoa,13.08,109.3,79.7,80,5.21,7,VN,1592408191
san ignacio,17.16,-89.07,80.6,83,4.7,75,BZ,1592408191
monopoli,40.96,17.29,81.0,50,8.05,20,IT,1592408192
taoudenni,22.68,-3.98,112.96,6,18.19,0,ML,1592408192
yenagoa,4.92,6.26,76.62,89,6.96,99,NG,1592408192
tezu,27.92,96.17,79.63,74,2.51,97,IN,1592408192
maumere,-8.62,122.21,79.32,72,3.76,100,ID,1592408192
kozyatyn,49.71,28.83,69.8,88,6.71,40,UA,1592408192
bandarbeyla,9.49,50.81,86.41,54,27.07,100,SO,1592408192
coihaique,-45.58,-72.07,37.4,93,3.36,90,CL,1592408193
roanoke rapids,36.46,-77.65,69.01,100,10.94,90,US,1592408122
cheney,47.49,-117.58,52.0,81,5.82,20,US,1592408194
constitucion,-35.33,-72.42,53.69,85,9.44,99,CL,1592407902
paamiut,61.99,-49.67,34.54,94,1.07,99,GL,1592408194
martapura,-3.42,114.85,76.6,88,3.13,78,ID,1592408194
novo aripuana,-5.12,-60.38,86.61,63,4.54,28,BR,1592408194
abu samrah,35.3,37.18,86.31,26,20.62,0,SY,1592408194
magadan,59.57,150.8,45.64,91,6.26,43,RU,1592408194
krasnovka,48.82,40.09,78.48,49,5.35,65,RU,1592408195
karpathos,35.51,27.21,77.0,69,14.99,20,GR,1592408195
saurimo,-9.66,20.39,80.6,30,6.93,0,AO,1592408196
shaowu,27.34,117.48,78.73,77,2.62,100,CN,1592408196
nabire,-3.37,135.48,76.46,84,3.18,100,ID,1592408196
portobelo,9.55,-79.65,88.0,79,8.05,40,PA,1592408196
iringa,-7.77,35.7,73.4,40,14.99,20,TZ,1592408196
buala,-8.14,159.59,80.62,79,6.53,94,SB,1592408068
huanren,41.26,125.37,58.41,77,1.66,100,CN,1592408197
ostrovnoy,68.05,39.51,44.28,69,7.25,71,RU,1592408197
valparaiso,-33.04,-71.63,51.8,100,9.17,90,CL,1592408197
belaya rechka,43.44,43.53,75.2,60,8.95,90,RU,1592408197
hofn,64.25,-15.21,49.91,64,7.61,0,IS,1592408197
diego de almagro,-26.37,-70.05,62.22,33,3.89,18,CL,1592408197
batagay-alyta,67.8,130.41,57.88,56,4.14,40,RU,1592408198
kabanjahe,3.1,98.49,80.6,83,2.24,40,ID,1592408198
thinadhoo,0.53,72.93,84.79,75,6.49,79,MV,1592408198
sistranda,63.73,8.83,66.2,77,12.75,20,NO,1592408199
lodja,-3.48,23.43,81.12,35,0.76,53,CD,1592408199
simbahan,6.3,120.58,84.78,71,7.49,92,PH,1592408200
cozumel,20.51,-86.95,82.0,78,6.93,75,MX,1592408200
segamat,2.51,102.82,78.8,88,2.24,20,MY,1592408200
hami,42.8,93.45,88.68,12,5.82,99,CN,1592408200
ponta delgada,37.73,-25.67,66.2,82,18.34,40,PT,1592408200
marquette,46.53,-87.63,77.0,47,9.17,5,US,1592408200
palauig,15.44,119.9,82.65,74,1.95,100,PH,1592408200
smithers,54.78,-127.17,46.4,87,3.36,75,CA,1592407960
methala,10.22,76.22,78.8,94,6.93,90,IN,1592408201
adelaide,-34.93,138.6,55.99,66,10.29,6,AU,1592408070
dongkan,34.0,119.83,68.22,96,10.38,100,CN,1592408202
norman wells,65.28,-126.83,64.4,68,9.17,40,CA,1592408202
denpasar,-8.65,115.22,82.4,100,12.75,40,ID,1592408115
siocon,7.71,122.14,80.29,81,2.64,100,PH,1592408202
kulhudhuffushi,6.62,73.07,84.51,80,15.08,100,MV,1592408203
hasaki,35.73,140.83,66.2,88,2.24,53,JP,1592408203
wanning,18.8,110.4,80.67,84,9.98,0,CN,1592408203
mehamn,71.04,27.85,48.2,66,8.05,28,NO,1592408203
chita,52.03,113.55,62.6,51,2.24,13,RU,1592407929
harper,4.38,-7.72,79.39,83,13.82,98,LR,1592408203
shitanjing,39.23,106.34,70.0,35,5.01,35,CN,1592408203
blankenberge,51.31,3.13,61.0,87,4.7,20,BE,1592408204
kaffrine,14.11,-15.55,104.59,23,7.49,60,SN,1592408204
yalkhoy-mokhk,43.11,46.19,80.6,42,13.42,75,RU,1592408204
jakar,27.55,90.75,61.5,77,0.51,100,BT,1592408204
marabba,12.35,32.18,95.23,34,8.5,100,SD,1592408204
prainha,-1.8,-53.48,87.94,55,5.77,20,BR,1592408204
tilichiki,60.47,166.1,40.96,91,1.63,11,RU,1592408204
bellevue,47.61,-122.2,59.0,76,3.36,75,US,1592408008
ayan,56.45,138.17,41.36,97,6.08,100,RU,1592408205
onguday,50.75,86.15,57.34,65,3.44,90,RU,1592408205
tinaquillo,9.92,-68.3,82.69,65,4.52,54,VE,1592408205
dongning,44.06,131.12,55.78,92,0.78,93,CN,1592408205
liverpool,53.41,-2.98,78.01,68,9.17,100,GB,1592408074
quarai,-30.39,-56.45,75.2,57,17.22,96,BR,1592408205
coari,-4.08,-63.14,87.91,55,1.72,29,BR,1592408206
doka,13.52,35.77,88.36,51,6.31,90,SD,1592408206
sao francisco,-15.95,-44.86,79.88,45,9.6,53,BR,1592408206
luwuk,-0.95,122.79,78.31,80,5.1,81,ID,1592408206
axim,4.87,-2.24,79.21,82,15.3,95,GH,1592408064
jiayuguan,39.82,98.3,74.66,18,8.03,0,CN,1592408206
general roca,-39.03,-67.58,46.4,75,4.7,67,AR,1592408189
yangambi,0.81,24.43,81.23,62,2.17,83,CD,1592408206
portland,45.52,-122.68,57.99,82,2.17,75,US,1592408266
asau,46.43,26.4,71.01,74,1.92,97,RO,1592408073
chipinge,-20.19,32.62,49.98,94,4.68,0,ZW,1592408207
petropavlovka,50.61,105.32,56.55,53,3.4,34,RU,1592408207
garden city,42.33,-83.33,80.6,29,3.36,20,US,1592408208
te anau,-45.42,167.72,39.61,89,6.15,44,NZ,1592408208
illapel,-31.63,-71.17,49.91,73,8.16,100,CL,1592408208
nantucket,41.28,-70.1,62.6,77,11.41,90,US,1592408203
bereda,43.27,-7.54,59.0,86,4.0,100,ES,1592408208
luderitz,-26.65,15.16,87.8,10,8.05,0,NA,1592408075
marawi,8.0,124.29,69.66,90,3.65,100,PH,1592408208
lagoa,39.05,-27.98,63.21,80,11.32,16,PT,1592408209
college,64.86,-147.8,61.0,76,3.36,75,US,1592408209
novonukutskiy,53.7,102.71,53.22,60,2.71,3,RU,1592408209
tarakan,3.3,117.63,82.98,74,6.17,100,ID,1592408209
yarada,17.65,83.27,86.0,79,9.17,40,IN,1592407934
orlik,52.52,99.83,46.92,76,3.13,38,RU,1592408209
paso de ovejas,19.28,-96.43,86.0,74,4.45,20,MX,1592408209
tacoronte,28.48,-16.41,75.99,69,13.87,75,ES,1592408210
dobrinka,52.17,40.47,73.69,72,5.23,0,RU,1592408210
umaria,23.53,80.83,81.36,70,11.3,100,IN,1592408210
baracoa,20.35,-74.5,84.78,75,7.96,97,CU,1592408210
grand gaube,-20.01,57.66,70.0,88,13.0,48,MU,1592408210
jalu,29.03,21.55,91.45,19,18.48,0,LY,1592408210
buraydah,26.33,43.98,105.8,13,11.41,0,SA,1592408210
albanel,48.88,-72.45,77.0,47,8.05,90,CA,1592408211
pisco,-13.7,-76.22,69.01,72,10.29,20,PE,1592408067
algeciras,36.13,-5.45,77.0,53,13.87,40,ES,1592407912
aleppo,36.25,37.5,86.25,29,23.96,0,SY,1592408211
bridlington,54.08,-0.19,66.2,82,9.17,97,GB,1592408211
karia,11.73,11.16,100.8,21,3.96,6,NG,1592408211
bairiki,1.33,172.98,80.6,78,4.7,20,KI,1592408212
anzio,41.49,12.62,75.0,66,10.0,0,IT,1592408212
port hedland,-20.32,118.57,64.4,82,3.13,0,AU,1592408212
iranshahr,27.2,60.68,113.0,6,9.17,20,IR,1592408212
srednekolymsk,67.45,153.68,70.23,41,4.94,92,RU,1592408212
gulu,2.77,32.3,68.02,91,1.14,48,UG,1592408213
nouakchott,18.09,-15.98,111.2,11,24.16,0,MR,1592408213
guerrero negro,27.98,-114.06,67.41,68,13.13,75,MX,1592408213
obuasi,6.21,-1.66,79.07,87,5.21,88,GH,1592408213
doha,25.29,51.53,105.8,15,16.11,21,QA,1592407806
turukhansk,65.82,87.98,42.31,92,6.13,99,RU,1592408213
sibi,29.54,67.88,108.09,7,7.16,0,PK,1592408213
newcastle,-32.93,151.78,63.0,59,14.99,90,AU,1592408213
carutapera,-1.2,-46.02,88.21,58,8.16,10,BR,1592408214
comal,29.82,-98.3,80.01,74,4.0,60,US,1592408214
akdepe,42.06,59.38,86.0,17,11.41,32,TM,1592408214
lagos,6.58,3.75,80.6,83,3.36,40,NG,1592408281
pakxan,18.38,103.66,75.83,93,1.99,100,LA,1592408214
tateyama,34.98,139.87,72.0,88,6.73,93,JP,1592408214
pimentel,-6.84,-79.93,68.0,72,12.75,75,PE,1592408214
mocuba,-16.84,36.99,64.89,89,4.76,12,MZ,1592408215
esmeraldas,-19.76,-44.31,69.8,72,11.41,75,BR,1592408215
atar,20.52,-13.05,107.4,11,25.86,0,MR,1592408215
burley,42.54,-113.79,46.4,75,21.92,90,US,1592408215
garissa,-0.45,39.64,82.38,48,20.4,26,KE,1592408215
vila velha,-20.33,-40.29,75.99,73,5.82,75,BR,1592408215
kompaniyivka,48.25,32.21,75.58,72,6.89,64,UA,1592408215
tiszabercel,48.15,21.65,71.6,78,8.05,40,HU,1592408215
carbonia,39.17,8.52,84.2,32,16.11,0,IT,1592408216
ferzikovo,54.52,36.76,80.6,42,6.71,26,RU,1592408216
vanimo,-2.67,141.3,77.04,83,3.49,63,PG,1592408216
el balsamo,15.07,-87.47,82.4,74,2.24,75,HN,1592408216
collie,-33.37,116.15,57.99,52,10.6,88,AU,1592408216
onda,39.97,-0.25,70.0,67,3.0,18,ES,1592408216
melfort,52.87,-104.62,51.8,100,19.46,90,CA,1592408216
oberwart,47.29,16.21,75.0,68,1.99,96,AT,1592408216
mareeba,-17.0,145.43,73.4,78,12.75,40,AU,1592408217
carauari,-4.88,-66.9,90.82,46,4.18,0,BR,1592408217
pindi bhattian,31.9,73.27,102.34,8,5.35,0,PK,1592408217
krasnopillya,50.77,35.26,75.61,81,9.48,77,UA,1592408217
aitape,-3.14,142.35,77.27,82,3.51,27,PG,1592408217
strabychovo,48.39,22.54,75.2,60,3.2,40,UA,1592408217
verkhniye tatyshly,56.29,55.86,58.42,73,10.13,0,RU,1592408217
majene,-3.54,118.97,79.54,82,17.87,84,ID,1592408217
fez,34.04,-5.0,84.2,35,9.17,75,MA,1592407933
asosa,10.07,34.53,65.98,95,0.47,100,ET,1592408218
cap malheureux,-19.98,57.61,70.0,88,11.99,49,MU,1592407942
toora-khem,52.47,96.11,54.0,64,0.27,14,RU,1592408218
norcasia,5.58,-74.89,79.41,78,2.24,65,CO,1592408218
lichtenburg,-26.15,26.16,48.4,75,5.08,96,ZA,1592408218
honiara,-9.43,159.95,75.2,100,2.24,40,SB,1592407994
sakaiminato,35.55,133.23,69.8,83,1.12,75,JP,1592408218
bhubaneswar,20.23,85.83,84.2,89,13.87,75,IN,1592408218
aasiaat,68.71,-52.87,35.17,86,4.63,63,GL,1592408219
fort nelson,58.81,-122.7,51.8,100,2.24,90,CA,1592408220
nueva loja,0.08,-76.88,77.0,88,3.36,40,EC,1592408220
muli,2.92,73.57,84.07,81,9.89,79,MV,1592408220
vicuna,-30.03,-70.71,51.8,81,12.75,75,CL,1592408220
richards bay,-28.78,32.04,62.4,76,4.76,100,ZA,1592408221
morris,40.83,-74.53,75.99,46,11.41,5,US,1592408221
colares,38.8,-9.45,72.0,56,13.87,20,PT,1592408221
alenquer,-1.94,-54.74,87.15,59,6.89,6,BR,1592408221
yumen,40.28,97.2,76.35,16,8.72,16,CN,1592408221
bushehr,28.97,50.84,91.4,49,13.87,0,IR,1592408221
hailar,49.2,119.7,62.62,80,6.73,100,CN,1592408077
fangshan,39.7,115.99,81.0,55,8.55,84,CN,1592408222
nisia floresta,-6.09,-35.21,84.2,70,23.04,75,BR,1592408222
sandviken,60.62,16.77,60.01,84,5.01,75,SE,1592408222
wattegama,6.8,81.48,86.0,84,10.29,40,LK,1592408222
acarau,-2.89,-40.12,85.62,63,12.93,20,BR,1592408222
layou,13.2,-61.27,86.0,70,9.17,75,VC,1592408222
chokwe,-24.53,32.98,59.58,92,13.76,100,MZ,1592407959
veydelevka,50.15,38.45,76.35,71,8.84,0,RU,1592408223
brainerd,46.36,-94.2,80.6,44,12.75,1,US,1592408093
eidsvag,62.78,8.07,75.2,53,9.17,33,NO,1592408223
skjervoy,70.03,20.97,55.4,71,4.7,0,NO,1592408223
qinhuangdao,39.93,119.59,74.93,52,13.87,100,CN,1592408223
san lazaro,18.04,-88.66,80.6,88,4.54,75,BZ,1592408223
tual,-5.67,132.75,80.38,83,23.17,25,ID,1592408223
port hardy,50.7,-127.42,55.4,82,3.36,75,CA,1592408224
nola,40.92,14.53,75.99,69,9.17,40,IT,1592408224
lucea,18.45,-78.17,86.0,66,6.93,20,JM,1592408224
koygorodok,60.45,51.0,57.79,44,5.1,0,RU,1592408224
kabalo,-6.05,26.92,80.56,30,4.43,0,CD,1592408224
kahului,20.89,-156.47,75.2,73,12.75,20,US,1592408224
amapa,1.0,-52.0,79.66,94,5.08,50,BR,1592408225
jiuquan,39.74,98.52,75.27,18,10.07,0,CN,1592408225
talnakh,69.49,88.4,41.0,93,6.71,40,RU,1592408225
kargasok,59.06,80.86,58.5,68,9.82,0,RU,1592408225
yarim,14.3,44.38,68.74,42,1.5,78,YE,1592408225
vysokogornyy,50.12,139.15,42.84,94,2.24,100,RU,1592408225
ust-karsk,52.7,118.81,57.79,84,2.84,83,RU,1592408225
gizo,-8.1,156.84,82.31,78,14.34,99,SB,1592408226
